name,id,primary_economy,x,y,z,population,edsm_id,needs_permit
1 Hydrae,3,Agriculture,60.90625,28.53125,-54.90625,6028981745,15225,0
10 Arietis,6,Refinery,-79.09375,-88.21875,-105.875,570041,7464,0
10 Kappa Pegasi,12,Agriculture,-102.40625,-39.75,19.9375,3158958733,1849,0
10 Theta Piscium,16,Extraction,-93.59375,-115.375,0.15625,3252816,14902,0
114 G. Aquilae,30,Agriculture,-97.0625,-28.28125,79.15625,342081975,11471,0
12 d Bootis,34,Agriculture,-19.5,115.8125,33.1875,5622123360,17554,0
12 G. Canis Minoris,35,Extraction,85.90625,30.4375,-148.0625,7147166,16241,0
16 c Ursae Majoris,61,High Tech,-21.375,41.84375,-43.21875,11337516,6118,0
16 Piscium,68,Refinery,-56.9375,-83.5,0.53125,628848,14956,0
19 Leonis Minoris,89,Agriculture,0.3125,72.8125,-55.90625,5413064897,3561,0
21 Draco,99,Agriculture,-60.03125,45.65625,8.09375,4605688333,12975,0
23 Andromedae,107,Agriculture,-95.625,-40.9375,-46.3125,2926787674,18215,0
23 Arietis,108,Refinery,-40.71875,-64.4375,-71.375,518017,15320,0
30 Ceti,141,High Tech,-32.09375,-146.125,-35.625,14858536,1003,0
32 Mu Serpentis,155,High Tech,-11.75,101.3125,135.5,5797675,16803,0
34 Pegasi,163,Agriculture,-85.375,-85.1875,30.65625,4693433284,4453,0
36 Doradus,169,Agriculture,73.78125,-43.3125,3.03125,4012399375,1226,0
36 Ophiuchi,170,Refinery,0.4375,2.09375,19.21875,3000000,5331,0
4 Camelopardalis,193,Extraction,-81.15625,24.03125,-149.90625,5489579,3160,0
41 Gamma Serpentis,201,Refinery,-12.125,26,22.875,611220,12608,0
42 Aquilae,205,Agriculture,-57.84375,-23.53125,84.25,5771973729,1425,0
45 c Bootis,214,High Tech,-19.46875,54.625,26.5,18304916,13275,0
49 d Orionis,228,Extraction,71.75,-47,-117.5,29006859,13756,0
50 Omega Tauri,239,Extraction,-7.71875,-32.96875,-88.125,10214270,17734,0
54 G. Antlia,253,Agriculture,70.375,24.46875,-1.09375,7863962054,17170,0
55 Virginis,255,Agriculture,70.9375,85.5,61.6875,5914846837,4067,0
57 Zeta Serpentis,260,Agriculture,-30.9375,12,69.28125,2773411214,15040,0
59 Virginis,268,Agriculture,10.9375,54.09375,15.25,8794169664,17897,0
62 Ursae Majoris,285,Agriculture,7.59375,129.46875,-34.53125,2984771609,10297,0
63 chi Leonis,286,Agriculture,45.90625,80.375,-19.1875,9125042046,5014,0
68 Eridani,300,High Tech,32.09375,-34.125,-68.5625,14759913,940,0
70 Ophiuchi,312,Refinery,-8.21875,3.09375,14.0625,11198763,1956,0
73 Rho Cygni,321,Extraction,-123.1875,-10,-2.46875,2490173,7470,0
76 Sigma Ceti,325,Agriculture,7.71875,-77.71875,-38.53125,4166109800,3130,0
80 e Piscium,336,Agriculture,-48.09375,-97.84375,-42.96875,12655128836,15498,0
9 Aurigae,352,Agriculture,-32.75,10.5,-78.5625,3455174744,11371,0
9 Ceti,353,High Tech,-18.9375,-65.3125,-3.28125,14563326,10240,0
Abriama,388,Refinery,-61.5,122.3125,-95.5,534465,10691,0
Ac Yax Baru,413,Terraforming,103.71875,-0.65625,99.0625,79345439,14852,0
Achansa,426,High Tech,53.1875,24.25,-107.71875,4295680,8267,0
Achehoongat,430,Agriculture,93.15625,-133,102.65625,9159184694,8008,0
Achenar,432,Refinery,67.5,-119.46875,24.84375,16380047759,12523,1
Achrende,437,High Tech,50.90625,-134.46875,-67.5,7053829,750,0
Ackwada,442,Extraction,42.78125,-65.3125,-11.34375,90000000,5464,0
Adad,454,Agriculture,-25.5625,-56,10.15625,2855400085,2108,0
Adeo,468,Agriculture,-81.625,31.40625,27.1875,8257413685,3953,0
Aditjargl,473,Agriculture,-0.53125,66.75,86.375,3232347488,2081,0
Afli,520,High Tech,35.3125,-78.03125,38.625,90349309,6012,0
Agarla,526,High Tech,63.28125,-115.375,83.5,37068434,2313,0
Aguano,545,Terraforming,73.40625,-103,115.28125,154781943,12399,0
Ahaut,562,Extraction,51.21875,-246.125,-42.15625,5602166,732,0
Ahemez,570,Extraction,-103.34375,-84.6875,-75.875,1489673,2275,0
Ajoku,618,Military,56.46875,-250.0625,-63.84375,613359,4584,0
Akandinigua,622,Extraction,85.65625,-18.15625,-4.5625,876837,17036,0
Akkadia,643,Colony,-1.75,-33.90625,-32.96875,1184821,5110,0
Aknandan,644,Terraforming,-1.1875,76.3125,122.34375,222922807,14752,0
Aknango,645,Extraction,-155.40625,30,-76.4375,1819831,18166,0
Aktzin,652,High Tech,-51.78125,23.9375,-29.40625,24273841,10340,0
Alano,670,High Tech,84.21875,-49.5625,30.03125,12011998,6705,0
Albarib,681,Refinery,96.4375,-0.65625,25.5625,3649440765,9193,0
Alcor,692,Refinery,-36,71.78125,-15.125,682606,6523,0
Aleumoxii,695,High Tech,35.09375,80.28125,-73.40625,4664681,19540,0
Algreit,705,Agriculture,-8.3125,-11.78125,53.28125,7500000,5527,0
Alignak,712,High Tech,-75.03125,54.53125,6.75,22266579,8494,0
Alit,719,Agriculture,39.84375,-78.5625,-35.96875,4787008106,7959,0
Alkaid,722,Extraction,-42.71875,94.46875,-7.34375,8470473130,6626,0
Alkundan,729,Extraction,-52.125,41.78125,122.5,1763904,14275,0
Alkuylkanam,732,Agriculture,-58.59375,82.625,65.84375,8667611718,6335,0
Alkuylkano,733,Extraction,144.4375,7.15625,18.875,4258130,336,0
Allo,738,Extraction,-166.40625,-23.875,-38.375,7904817,4306,0
Allobog,740,Military,-92.9375,-38.0625,121.03125,554856,927,0
Allowair,746,Extraction,-80.75,-3.5,55.5625,3064592,7066,0
Almad,748,High Tech,97.875,-116.75,-31.96875,10865236,6692,0
Alpha Caeli,763,Agriculture,45.21875,-43.34375,-20.125,16796538233,743,0
Alpha Fornacis,766,Agriculture,16.9375,-39.625,-17.3125,5043663501,12445,0
Alpha Tucanae,769,Agriculture,65.875,-149.5,114.90625,6898652911,954,0
Alrai,773,High Tech,-38.71875,12.3125,-21.625,12801179,10746,0
Amahinohara,789,Extraction,83.15625,-9.96875,-141,1717049,15687,0
Amahu,790,Agriculture,-30.40625,39.4375,77.3125,3019887924,2300,0
Amarak,807,High Tech,-68.4375,26,26.46875,10248421,9782,0
Ammapa,861,Agriculture,-115.25,58.125,-43.28125,2287493348,15462,0
Ammatis,865,Agriculture,16.1875,22.28125,108.375,1276640295,3946,0
Amphisatsu,868,High Tech,67.375,-72.3125,21.78125,91733109,10876,0
Amuza,871,Agriculture,71.1875,-88.1875,96.125,1596982240,14586,0
Anahit,877,Extraction,75.34375,-138.9375,33.4375,50000000,15286,0
Anaruwa,898,Extraction,55.90625,31.8125,88.34375,1834226,12086,0
Andarici,915,Extraction,140.125,-94.625,46.5,5424634,15005,0
Andceeth,918,Extraction,70.78125,-19.78125,-8.28125,300000000,11924,0
Andel,921,High Tech,75.21875,18.84375,-48.34375,13103893,15194,0
Andere,923,Agriculture,-63.21875,57.625,-16,2083005130,19884,0
Andhantja,925,Extraction,-139.75,-34.8125,123.8125,2970881,8161,0
Andhrimi,930,High Tech,10.375,-54.40625,18.6875,48576582,922,0
Andlit,935,High Tech,-99.15625,14.1875,6.53125,5053825,19721,0
Andonnus,937,High Tech,165.875,-69.15625,54.46875,16138666,2020,0
Andowa,939,Extraction,146.25,68.5625,18.40625,2224461,12102,0
